Example #,TTL_ZPT Text (Original),Segmentation
Example 1,bǽll.ˈdxî,bǽll=dxi
Example 2,ˈtxḭ̂w?,tx´-æ=ṵ
Example 3,ˈyu’,yu’
Example 4,ˈxtḛ̂,xtḛ̂ny
Example 5,ˈJwáyn,Jwáyn
Example 6,gu.ˈzam,gu-za=um
Example 7,ˈdâmm,dâmm
Example 8,ˈrwa̰,r-wa̰
Example 9,ˈraw,r-aw
Example 10,ˈrya,r-ya
Example 11,ra.ˈnǎy,ra-nǎy
Example 12,*raw̄,r-aw
Example 13,*ra-ˈnāý,ra-nǎy
Example 14,*riˈdūý,ri-dūy
Example 15,ˈda’,da’
Example 16,riˈdūy,ri-dūy
Example 17,ˈdâ’,da’
Example 18,ri.bix.ˈla̰z,ri-bix+la̰z
Example 19,ruyn.ˈsrū,r-uny+srū
Example 20,ri.za.ˈgi,ri-za+gi
Example 21,lizˈgḭb,liz+gḭb
Example 22,nisˈdo̰w,nis+do̰w
Example 23,dxī.ˈla̰z,dxī+lâ̰z
Example 24,ga.ˈlǎy,ga+lǎy
Example 25,gu.du.ˈbḛ̄w,gudu+bḛ̄w
Example 26,ˈbēnny,bēnny
Example 27,ní.gu.ˈdí.nyán.kīx,ni=gu-dīny=an=kī=x
Example 28,ˈra,r-a
Example 29,ˈxta’,x-da’
Example 30,ˈgi’n,gi-i’n
Example 31,ri.ˈzu,ri-zu
Example 32,gu.ˈza,gu-za
Example 33,ká.ˈnīsy,ká-nīsy
Example 34,ri.git.ˈnǣ,ri-git-nǣ
Example 35,ri.nni.ˈnǣ,ri-nnḭ-nǣ
Example 36,gú.ˈnæ’n,gû’n=æ’ny
Example 37,gu.bá.ˈni’n,gubâ’ny=i’ny
Example 38,bedy.ˈgǐdy,bedy-gǐdy
Example 39,dixh.ˈtíly,dḭdx-tíly
Example 40,ru.kwa.ˈdyag,ru-kwa̰-dyag
Example 41,ri.nnye.ˈbla̰z,ri-nnya̰b-la̰z
Example 42,gú.ˈnæ’n,gû’n-æ’ny
Example 43,di.ˈni’n,di’n-i’ny
Example 44,ruˈryu’ω,ru’+r-yu’
Example 45,xki.bya.ˈgæ’n,x-gḭb+yag-æ’ny
Example 46,ˈBǽd,Bǽd
Example 47,xki.ˈbyag,x-gḭb+yag
Example 48,kú.ˈyi’n,kúy-æ’ny
Example 49,ˈBǽd,Bǽd
Example 50,ri.git.ˈně’.nyan,ri-git-nǣ-æ’ny=an
Example 51,ˈBǽd,Bǽd
Example 52,ˈnna̰y.zá,nna̰y=zá
Example 53,ˈbyô’n̄,b-yô’=ūn
Example 54,te.ˈtyōp.zī.dān,tetyōp=zī=dān
Example 55,ˈgwæ̂,gu-æ
Example 56,ˈrak.ˈmḭ̄d.zá,r-ak+mḭ̄d=zá
Example 57,*ˈrak.zá,r-ak=zá
Example 58,ˈmḭ̄d,mḭ̄d
Example 59,ˈrak.zá,r-ak=zá
Example 60,ˈdzɨyn,dzɨyn
Example 61,ádí.ˈrēky,ádí=rēky
Example 62,ˈgwâ’,gu-â’
Example 63,ˈá.dí.zá,ádí=zá
Example 64,ˈrēky,rēky
Example 65,ˈgwâ’,gw-â’
Example 66,ˈyu’.ˈrô’w.kī,yu’+rô’w=kī
Example 67,ˈlady.ˈkúy.kī,lady+kúy=kī
Example 68,ˈryab,r-yab
Example 69,ˈrya̰.bu’,r-yab=ṵ
Example 70,ˈruyn,r-uny
Example 71,ˈru.nyan,r-uny=an
Example 72,ri.ˈgīn,ri-gīny
Example 73,*ri.ˈgīyn,ri-gīny
Example 74,ontour,V
Example 75,Levelling,V
Example 76,ˈgī.tsēn,gits=ēn
Example 77,ˈgī.tsēn,gīts=ēn
Example 78,ˈyū’.rǣ,yu’=rǣ
Example 79,gú.ˈzyǣ̰n,gu-zḭ=ān
Example 80,gu.ˈzḭ,gu-zḭ
Example 81,ˈbēnny,bēnny
Example 82,gú.ˈbīn.kī,gubin=kī
Example 83,té.ˈyu’,te=yu’
Example 84,gu.ˈlǎl,gulǎl
Example 85,gu.ˈzyǣ̰.nēn,gu-zḭ=ān=ēn
Example 86,ˈbēnny,bēnny
Example 87,gú.ˈbīn.kī,gubin=kī
Example 88,gú.ˈzḭ̂,gu-zḭ
Example 89,té.ˈyu’,te=yu’
Example 90,gu.ˈlǎl,gulǎl
Example 91,ˈrá,rá
Example 92,ˈbénny,bēnny
Example 93,ˈxtḛ̂n,xtḛ̂ny
Example 94,ˈBǽd,Bǽd
Example 95,ˈlæ’n,læ’n
Example 96,ˈgæs,gæs
Example 97,te.ˈdxap,te=dxap
Example 98,ˈdgæ̂s,d´=gæs
Example 99,te.ˈdxap,te=dxap
Example 100,ˈzyṵ̂l,zyṵ̂l
Example 101,te.ˈgæs,te=gæs
Example 102,ˈgwěn,gwěn
Example 103,ba.da.ˈwæ’n,bada̰w-æ’ny
Example 104,ˈlæ’n,læ’n
Example 105,ˈgæs.kī,gæs=kī
Example 106,ˈbyā,b-yā
Example 107,ˈlyû,lyu
Example 108,gwe.ˈsæ̰d.dán,gu-æ-sæ̰d=dán
Example 109,bēd.ˈtí.xhán,b-ǣd-tixh=an
Example 110,ru.ˈyā’,ru-yā’
Example 111,ˈJwáyn,Jwáyn
Example 112,ru.yā’.ˈnǽ,ru-yā’-nǣ
Example 113,ˈJwáyn,Jwáyn
Example 114,ˈNdǔn,Ndǔn
Example 115,*ˈxtip,x-tip
Example 116,ˈJwáyn,Jwáyn
Example 117,*ˈxkǽgw,x-gǽgw
Example 118,ˈyag,yag
Example 119,kēd.ˈná.dí,kēd=nā=di
Example 120,ˈlâdy.kī,lady=kī
Example 121,ˈnâdx,nadx
Example 122,kēd.ˈnâdx.di,kēd=nadx=di
Example 123,ˈnā,nā
Example 124,ˈlâdy.kán,lady=kán
Example 125,ˈnna̰y,nna̰y
Example 126,gu.ˈdi.xhan,gu-dixh=an
